nodeType,nodeLabels,propertyName,propertyTypes,mandatory
:`Author`,[Author],middle,[StringArray],true
:`Author`,[Author],last,[String],true
:`Author`,[Author],suffix,[String],true
:`Author`,[Author],first,[String],true
:`Author`,[Author],email,[String],false
:`Term`,[Term],id,[String],true
:`Term`,[Term],name,[String],true
:`Ontology`,[Ontology],name,[String],true
:`Paragraph`,[Paragraph],id,[String],true
:`Paragraph`,[Paragraph],position,[Long],true
:`Paragraph`,[Paragraph],text,[String],true
:`Paragraph`,[Paragraph],section,[String],true
:`CiteSpan`,[CiteSpan],text,[String],true
:`CiteSpan`,[CiteSpan],start,[Long],true
:`CiteSpan`,[CiteSpan],end,[Long],true
:`CiteSpan`,[CiteSpan],ref_id,[String],false
:`RefSpan`,[RefSpan],text,[String],true
:`RefSpan`,[RefSpan],start,[Long],true
:`RefSpan`,[RefSpan],end,[Long],true
:`RefSpan`,[RefSpan],ref_id,[String],false
:`BibEntry`,[BibEntry],id,[String],true
:`BibEntry`,[BibEntry],title,[String],true
:`BibEntry`,[BibEntry],volume,[String],true
:`BibEntry`,[BibEntry],venue,[String],true
:`BibEntry`,[BibEntry],pages,[String],true
:`BibEntry`,[BibEntry],issn,[String],true
:`BibEntry`,[BibEntry],year,[Long],false
:`RefEntry`,[RefEntry],id,[String],true
:`RefEntry`,[RefEntry],text,[String],true
:`RefEntry`,[RefEntry],type,[String],true
:`DOI`,[DOI],id,[String],true
:`Article`,[Article],id,[String],true
:`Article`,[Article],title,[String],true
:`Article`,[Article],license,[String],true